Player_Name,Era_ID,Era_Label,Archetype_ID,Archetype_Label,Seasons_Played,Career_Games,Playoff_Seasons,Playoff_Games,Championships,Finals_MVP,All_NBA_Teams,All_Defensive_Teams,Career_PPG,Playoff_PPG,Career_PER,Peak_5Yr_PER,Playoff_PER,Career_BPM,Playoff_BPM,Career_TS_Pct,Career_WS_per_48,Playoff_WS_per_48,Athletic_Raw_Rank,Yahoo_Raw_Rank,BR_Raw_Rank,All_NBA_PS
Kevin Garnett,4,2000-2009,2,Point Forward / Playmaker,21,1462,14,143,1,0,9,12,17.8,18.2,32.3,46,33.9,2.7,3,0.546,0.261,0.248,18,16,16,0.428571429
Moses Malone,2,1980-1989,1,Two-Way Paint Beast,19,1329,12,94,3,1,8,1,20.6,22.1,34.8,48.2,36.5,3.1,3.4,0.569,0.274,0.26,19,24,21,0.421052632
Dirk Nowitzki,4,2000-2009,2,Point Forward / Playmaker,21,1522,15,145,1,1,12,0,20.7,25.3,33.8,42.2,35.5,3.1,3.4,0.577,0.269,0.256,20,17,18,0.571428571
David Robinson,3,1990-1999,1,Two-Way Paint Beast,14,987,12,123,2,0,10,8,21.1,18.1,37.1,45.5,39,3.2,3.5,0.583,0.286,0.272,21,19,19,0.714285714
Giannis Antetokounmpo,6,2020-2029,2,Point Forward / Playmaker,13,895,9,84,1,0,8,5,24.1,27,44.2,53,46.4,3.6,4,0.613,0.321,0.305,22,18,24,0.615384615
Charles Barkley,3,1990-1999,2,Point Forward / Playmaker,16,1073,13,123,0,0,11,0,22.1,23,41,46.3,43.1,3.3,3.6,0.612,0.305,0.29,23,30,25,0.6875
Elgin Baylor,0,1960-1969,0,Heliocentric Scorer,14,846,12,134,0,0,10,0,27.4,27,,,,4.1,4.5,0.494,,,24,53,26,0.714285714
Isiah Thomas,2,1980-1989,3,Floor General / Facilitator,13,979,9,111,2,1,5,0,19.2,20.4,33.6,38.7,35.3,2.9,3.2,0.516,0.268,0.255,25,40,27,0.384615385
Rick Barry,1,1970-1979,2,Point Forward / Playmaker,10,794,7,74,1,1,10,0,23.2,24.8,27.6,,29,3.5,3.9,0.51,0.238,0.226,26,33,41,1
Dwyane Wade,5,2010-2019,0,Heliocentric Scorer,16,1054,13,177,3,1,8,3,22,22.3,32.8,42.4,34.4,3.3,3.6,0.554,0.264,0.251,27,25,23,0.5
Nikola Jokic,6,2020-2029,2,Point Forward / Playmaker,11,810,8,100,1,1,6,0,22.2,27.4,45.8,55,48.1,3.3,3.6,0.641,0.329,0.313,28,21,17,0.545454545
John Havlicek,1,1970-1979,2,Point Forward / Playmaker,16,1270,13,172,8,1,11,8,20.8,22,26,,27.3,3.1,3.4,0.492,0.23,0.218,29,32,31,0.6875
Scottie Pippen,3,1990-1999,2,Point Forward / Playmaker,17,1178,16,208,6,0,7,10,16.1,17.5,28.9,37.3,30.3,2.4,2.6,0.536,0.244,0.232,30,31,28,0.411764706
Chris Paul,5,2010-2019,3,Floor General / Facilitator,21,1370,15,149,0,0,11,9,16.8,20,32.7,38.3,34.3,2.5,2.8,0.58,0.264,0.251,31,23,30,0.523809524
Bob Pettit,0,1960-1969,1,Two-Way Paint Beast,11,792,9,88,1,0,11,0,26.4,25.5,,,,4,4.4,0.511,,,32,29,38,1
John Stockton,3,1990-1999,3,Floor General / Facilitator,19,1504,19,182,0,0,11,5,13.1,13.4,28.1,35.8,29.5,2,2.2,0.608,0.241,0.229,33,27,29,0.578947368
James Harden,5,2010-2019,0,Heliocentric Scorer,17,1221,17,187,0,0,10,0,24,22.3,40.6,50.4,42.6,3.6,4,0.608,0.303,0.288,34,28,34,0.588235294
Kawhi Leonard,5,2010-2019,2,Point Forward / Playmaker,14,798,12,146,2,2,6,7,20.7,21.5,33.8,40.9,35.5,3.1,3.4,0.607,0.269,0.256,35,26,32,0.428571429
George Mikan,0,1960-1969,1,Two-Way Paint Beast,7,439,7,70,0,0,2,0,23.1,24,,,,3.5,3.9,0.483,,,36,52,44,0.285714286
Jason Kidd,4,2000-2009,3,Floor General / Facilitator,19,1391,17,158,1,0,6,9,12.6,12.9,29.2,35.4,30.7,1.9,2.1,0.507,0.246,0.234,37,36,33,0.315789474
Patrick Ewing,3,1990-1999,1,Two-Way Paint Beast,17,1183,14,139,0,0,7,3,21,20.2,35,43.1,36.8,3.2,3.5,0.553,0.275,0.261,38,56,40,0.411764706
Steve Nash,4,2000-2009,3,Floor General / Facilitator,18,1217,12,120,0,0,7,0,14.3,17.3,26.2,33.6,27.5,2.1,2.3,0.605,0.231,0.219,39,37,35,0.388888889
Bob Cousy,0,1960-1969,3,Floor General / Facilitator,14,924,13,109,6,0,12,0,18.4,18.5,,,,2.8,3.1,0.446,,,40,34,37,0.857142857
Joel Embiid,6,2020-2029,1,Two-Way Paint Beast,10,490,8,66,0,0,5,3,27.6,24.8,45.3,49.9,47.6,4.1,4.5,0.613,0.326,0.31,41,61,66,0.5
Elvin Hayes,1,1970-1979,1,Two-Way Paint Beast,16,1303,10,96,1,0,6,2,21,22.9,30.3,35.7,31.8,3.2,3.5,0.491,0.252,0.239,42,60,47,0.375
George Gervin,2,1980-1989,0,Heliocentric Scorer,10,791,9,59,0,0,9,0,26.2,27,36.9,41.5,38.7,3.9,4.3,0.572,0.284,0.27,43,43,42,0.9
Clyde Drexler,3,1990-1999,3,Floor General / Facilitator,15,1086,15,145,1,0,5,0,20.4,20.4,35.5,41.8,37.3,3.1,3.4,0.547,0.277,0.263,44,49,39,0.333333333
Willis Reed,1,1970-1979,1,Two-Way Paint Beast,10,650,7,78,2,0,5,1,18.7,17.4,,,,2.8,3.1,0.523,,,45,47,58,0.5
Walt Frazier,1,1970-1979,0,Heliocentric Scorer,13,825,8,93,2,0,6,7,18.9,20.7,16.4,,17.2,2.8,3.1,0.542,0.182,0.173,46,45,43,0.461538462
Russell Westbrook,5,2010-2019,0,Heliocentric Scorer,18,1301,14,135,0,0,9,0,20.9,22.5,37.5,49.6,39.4,3.1,3.4,0.526,0.288,0.274,47,38,48,0.5
Reggie Miller,3,1990-1999,4,Pure Sharpshooter / Off-Ball Weapon,18,1389,15,144,0,0,3,0,18.2,20.6,26.8,31.9,28.1,2.7,3,0.614,0.234,0.222,48,65,54,0.166666667
Allen Iverson,4,2000-2009,0,Heliocentric Scorer,14,914,8,71,0,0,7,0,26.7,29.7,36,43.7,37.8,4,4.4,0.518,0.28,0.266,49,46,36,0.5
Gary Payton,3,1990-1999,3,Floor General / Facilitator,17,1335,15,154,1,0,9,9,16.3,14,30.3,40.2,31.8,2.4,2.6,0.528,0.252,0.239,50,41,53,0.529411765
Paul Pierce,4,2000-2009,2,Point Forward / Playmaker,19,1343,14,170,1,1,4,0,19.7,18.7,30.2,39,31.7,3,3.3,0.568,0.251,0.238,51,51,49,0.210526316
Kevin McHale,2,1980-1989,5,Defensive Anchor / Glass Cleaner,13,971,13,169,3,0,1,6,17.9,18.8,30,37.6,31.5,2.7,3,0.605,0.25,0.238,52,50,46,0.076923077
Luka Doncic,6,2020-2029,0,Heliocentric Scorer,8,514,5,55,0,0,5,0,29.2,30.9,50.1,52.5,52.6,4.4,4.8,0.592,0.351,0.333,53,74,57,0.625
Dominique Wilkins,3,1990-1999,0,Heliocentric Scorer,15,1074,10,56,0,0,7,0,24.8,25.4,37.1,42.8,39,3.7,4.1,0.536,0.286,0.272,54,79,50,0.466666667
Ray Allen,4,2000-2009,4,Pure Sharpshooter / Off-Ball Weapon,18,1300,11,171,2,0,2,0,18.9,16.1,29.8,36.7,31.3,2.8,3.1,0.58,0.249,0.237,55,55,51,0.111111111
Dwight Howard,5,2010-2019,0,Heliocentric Scorer,18,1242,12,125,1,0,8,5,15.7,15.3,30.7,39.4,32.2,2.4,2.6,0.602,0.254,0.241,56,35,52,0.444444444
Anthony Davis,6,2020-2029,1,Two-Way Paint Beast,14,807,6,60,1,0,5,5,24,26.1,42,45.4,44.1,3.6,4,0.591,0.31,0.294,57,39,45,0.357142857
Bob McAdoo,1,1970-1979,0,Heliocentric Scorer,14,852,9,94,0,0,2,0,22.1,18.3,26.2,38.9,27.5,3.3,3.6,0.551,0.231,0.219,58,71,61,0.142857143
James Worthy,3,1990-1999,2,Point Forward / Playmaker,12,926,9,143,3,1,2,0,17.6,21.1,28.6,33.3,30,2.6,2.9,0.559,0.243,0.231,59,72,63,0.166666667
Tracy McGrady,4,2000-2009,0,Heliocentric Scorer,15,938,9,50,0,0,2,0,19.6,22.2,29.1,44.6,30.6,2.9,3.2,0.519,0.246,0.234,60,58,59,0.133333333
Dave Cowens,1,1970-1979,1,Two-Way Paint Beast,11,766,7,89,2,0,3,3,17.6,18.9,30.4,,31.9,2.6,2.9,0.496,0.252,0.239,61,83,74,0.272727273
Wes Unseld,1,1970-1979,5,Defensive Anchor / Glass Cleaner,13,984,12,119,1,0,1,0,10.8,10.6,27.2,,28.6,1.6,1.8,0.537,0.236,0.224,62,78,70,0.076923077
Dolph Schayes,0,1960-1969,2,Point Forward / Playmaker,15,996,14,97,0,0,2,0,18.5,19.5,,,,2.8,3.1,0.488,,,63,42,56,0.133333333
Dennis Rodman,3,1990-1999,5,Defensive Anchor / Glass Cleaner,14,911,11,169,0,0,2,0,7.3,6.4,24.2,29.3,25.4,1.1,1.2,0.546,0.221,0.21,64,89,67,0.142857143
Damian Lillard,5,2010-2019,0,Heliocentric Scorer,13,900,10,68,0,0,7,0,25.1,25.2,40.3,44.4,42.3,3.8,4.2,0.59,0.302,0.287,65,67,64,0.538461538
Carmelo Anthony,5,2010-2019,0,Heliocentric Scorer,19,1260,13,83,0,0,6,0,22.5,23.1,34.7,40.4,36.4,3.4,3.7,0.543,0.274,0.26,66,88,60,0.315789474
Earl Monroe,1,1970-1979,3,Floor General / Facilitator,13,926,8,82,0,0,2,0,18.8,17.9,18.5,,19.4,2.8,3.1,0.517,0.192,0.182,67,101,89,0.153846154
Chris Webber,4,2000-2009,1,Two-Way Paint Beast,15,831,10,80,0,0,2,0,20.7,18.7,35.1,43.7,36.9,3.1,3.4,0.513,0.276,0.262,68,100,90,0.133333333
Billy Cunningham,1,1970-1979,2,Point Forward / Playmaker,9,654,6,39,0,0,2,0,20.8,19.4,,,,3.1,3.4,0.503,,,69,101,101,0.222222222
Nate Archibald,1,1970-1979,0,Heliocentric Scorer,13,876,5,47,1,0,5,0,18.8,14.2,20.6,22.1,21.6,2.8,3.1,0.543,0.203,0.193,70,96,80,0.384615385
Robert Parish,2,1980-1989,5,Defensive Anchor / Glass Cleaner,21,1611,16,184,4,0,2,0,14.5,15.3,27.4,34.5,28.8,2.2,2.4,0.571,0.237,0.225,71,68,68,0.095238095
Paul George,5,2010-2019,2,Point Forward / Playmaker,16,945,12,125,0,0,2,0,20.5,20.8,32,39,33.6,3.1,3.4,0.571,0.26,0.247,72,75,78,0.125
Hal Greer,0,1960-1969,3,Floor General / Facilitator,15,1122,13,92,0,0,2,0,19.2,20.4,,,,2.9,3.2,0.506,,,73,84,73,0.133333333
Bill Walton,3,1990-1999,0,Heliocentric Scorer,10,468,4,49,0,0,2,0,13.3,10.8,24,28.9,25.2,2,2.2,0.551,0.22,0.209,74,87,55,0.2
Alonzo Mourning,3,1990-1999,1,Two-Way Paint Beast,15,838,11,95,0,0,2,0,17.1,13.6,25.2,35.7,26.5,2.6,2.9,0.583,0.226,0.215,75,85,87,0.133333333
Jerry Lucas,1,1970-1979,1,Two-Way Paint Beast,11,829,8,72,0,0,2,0,17,12.4,,,,2.6,2.9,0.544,,,76,94,101,0.181818182
Sam Jones,0,1960-1969,4,Pure Sharpshooter / Off-Ball Weapon,12,871,12,154,0,0,2,0,17.7,18.9,,,,2.7,3,0.503,,,77,70,85,0.166666667
Pau Gasol,5,2010-2019,2,Point Forward / Playmaker,18,1226,12,136,2,0,4,0,17,15.4,30.1,35.8,31.6,2.6,2.9,0.565,0.251,0.238,78,54,62,0.222222222
Alex English,2,1980-1989,0,Heliocentric Scorer,15,1193,10,68,0,0,2,0,21.5,24.4,34.6,42.6,36.3,3.2,3.5,0.55,0.273,0.259,79,101,76,0.133333333
Kyrie Irving,5,2010-2019,0,Heliocentric Scorer,14,779,7,96,1,0,3,0,23.7,23,38.2,42.7,40.1,3.6,4,0.584,0.291,0.276,80,76,69,0.214285714
Pete Maravich,2,1980-1989,0,Heliocentric Scorer,10,658,4,26,0,0,2,0,24.2,18.7,25.5,25.5,26.8,3.6,4,0.5,0.228,0.217,81,101,77,0.2
Manu Ginobili,4,2000-2009,4,Pure Sharpshooter / Off-Ball Weapon,16,1057,15,218,4,0,2,0,13.3,14,22.1,28.1,23.2,2,2.2,0.582,0.211,0.2,82,62,75,0.125
Spencer Haywood,3,1990-1999,2,Point Forward / Playmaker,12,760,4,33,0,0,2,0,19.2,13.4,25.1,28,26.4,2.9,3.2,0.517,0.226,0.215,83,101,101,0.166666667
Grant Hill,4,2000-2009,2,Point Forward / Playmaker,18,1026,8,39,0,0,2,0,16.7,13.4,28.2,39.6,29.6,2.5,2.8,0.551,0.241,0.229,84,91,79,0.111111111
Vince Carter,4,2000-2009,0,Heliocentric Scorer,22,1541,11,88,0,0,2,0,16.7,18.1,26.6,39,27.9,2.5,2.8,0.536,0.233,0.221,85,95,65,0.090909091
Chris Bosh,5,2010-2019,2,Point Forward / Playmaker,13,893,6,89,2,0,0,0,19.2,15.6,33.4,39.4,35.1,2.9,3.2,0.571,0.267,0.254,86,90,71,0
Tony Parker,4,2000-2009,3,Floor General / Facilitator,18,1254,17,226,4,1,4,0,15.5,17.9,25.6,31.2,26.9,2.3,2.5,0.546,0.228,0.217,87,57,86,0.222222222
Dennis Johnson,2,1980-1989,3,Floor General / Facilitator,14,1100,13,180,0,0,2,0,14.1,17.3,25.4,28.5,26.7,2.1,2.3,0.511,0.227,0.216,88,101,101,0.142857143
Paul Arizin,0,1960-1969,4,Pure Sharpshooter / Off-Ball Weapon,10,713,8,49,0,0,2,0,22.8,24.2,,,,3.4,3.7,0.506,,,89,69,72,0.2
Nate Thurmond,1,1970-1979,5,Defensive Anchor / Glass Cleaner,14,964,9,81,0,0,2,0,15,11.9,,,,2.2,2.4,0.47,,,90,101,101,0.142857143
Jayson Tatum,6,2020-2029,2,Point Forward / Playmaker,9,601,9,127,1,0,4,0,23.5,24.2,39.4,45.2,41.4,3.5,3.9,0.582,0.297,0.282,91,63,93,0.444444444
Bernard King,3,1990-1999,0,Heliocentric Scorer,14,874,5,28,0,0,2,0,22.5,24.5,32.4,37.1,34,3.4,3.7,0.561,0.262,0.249,92,101,97,0.142857143
Bill Sharman,0,1960-1969,4,Pure Sharpshooter / Off-Ball Weapon,11,711,10,78,0,0,2,0,17.8,18.5,,,,2.7,3,0.497,,,93,80,94,0.181818182
Artis Gilmore,2,1980-1989,1,Two-Way Paint Beast,12,909,6,42,1,0,5,5,17.1,11.7,27.1,36.5,28.5,2.6,2.9,0.643,0.236,0.224,94,44,100,0.416666667
Sidney Moncrief,2,1980-1989,5,Defensive Anchor / Glass Cleaner,11,767,11,93,0,0,2,0,15.6,16,25.6,34.7,26.9,2.3,2.5,0.591,0.228,0.217,95,86,101,0.181818182
Lenny Wilkens,1,1970-1979,3,Floor General / Facilitator,15,1077,7,64,0,0,2,0,16.5,16.1,,,,2.5,2.8,0.511,,,96,101,92,0.133333333
Dave DeBusschere,3,1960-1969,2,Point Forward / Playmaker,12,875,8,96,0,0,2,0,16.1,16,,,,2.4,2.6,0.472,,,97,101,95,0.166666667
Dave Bing,3,1970-1979,0,Heliocentric Scorer,12,901,5,31,0,0,2,0,20.3,15.4,20.8,,21.8,3,3.3,0.502,0.204,0.194,98,101,99,0.166666667
Jimmy Butler,6,2020-2029,2,Point Forward / Playmaker,15,907,12,130,0,0,2,0,18.4,21.1,31.9,37.5,33.5,2.8,3.1,0.592,0.26,0.247,99,81,83,0.133333333
Draymond Green,6,2020-2029,5,Defensive Anchor / Glass Cleaner,14,949,10,169,0,0,2,0,8.7,11.4,22.6,27.4,23.7,1.3,1.4,0.541,0.213,0.202,100,77,88,0.142857143
Marc Gasol,5,2010-2019,5,Defensive Anchor / Glass Cleaner,13,891,9,99,0,0,2,0,14,13.4,26.9,32.1,28.2,2.1,2.3,0.557,0.234,0.222,101,99,101,0.153846154
Kyle Lowry,5,2010-2019,3,Floor General / Facilitator,20,1187,12,138,0,0,2,0,13.8,13.3,22.9,33.9,24,2.1,2.3,0.569,0.214,0.203,101,98,101,0.1
Al Horford,5,2010-2019,2,Point Forward / Playmaker,19,1183,16,197,0,0,2,0,12.7,11.9,26.5,31,27.8,1.9,2.1,0.573,0.232,0.22,101,97,101,0.105263158
Amar'e Stoudemire,4,2000-2009,0,Heliocentric Scorer,14,846,10,78,0,0,2,0,18.9,18.7,27.5,36.9,28.9,2.8,3.1,0.597,0.238,0.226,101,93,101,0.142857143
Horace Grant,3,1990-1999,5,Defensive Anchor / Glass Cleaner,17,1165,13,170,0,0,2,0,11.2,11.2,23.4,30.1,24.6,1.7,1.9,0.54,0.217,0.206,101,92,101,0.117647059
Adrian Dantley,2,1980-1989,0,Heliocentric Scorer,15,955,7,73,0,0,2,0,24.3,21.3,34.3,44.3,36,3.6,4,0.617,0.271,0.257,101,82,84,0.133333333
Dikembe Mutombo,4,2000-2009,5,Defensive Anchor / Glass Cleaner,18,1196,13,101,0,0,2,0,9.8,9.1,22,29.2,23.1,1.5,1.6,0.573,0.21,0.199,101,73,81,0.111111111
Ben Wallace,4,2000-2009,5,Defensive Anchor / Glass Cleaner,16,1088,8,130,0,0,2,0,5.7,7.2,17.5,26,18.4,0.9,1,0.474,0.188,0.179,101,66,101,0.125
Rudy Gobert,6,2020-2029,5,Defensive Anchor / Glass Cleaner,13,905,10,96,0,0,2,0,12.5,11.6,28.1,33.3,29.5,1.9,2.1,0.672,0.241,0.229,101,64,101,0.153846154
Chauncey Billups,4,2000-2009,3,Floor General / Facilitator,17,1043,12,146,0,0,2,0,15.2,17.3,23.9,30.3,25.1,2.3,2.5,0.58,0.22,0.209,101,59,91,0.117647059
Shai Gilgeous-Alexander,6,2020-2029,0,Heliocentric Scorer,8,530,5,55,0,0,2,0,25.3,26.2,39.8,46.2,41.8,3.8,4.2,0.616,0.299,0.284,101,48,101,0.25
Bob Lanier,2,1980-1989,1,Two-Way Paint Beast,14,959,9,67,0,0,2,0,20.1,18.6,30.5,36.3,32,3,3.3,0.559,0.252,0.239,101,101,82,0.142857143
Joe Dumars,3,1990-1999,3,Floor General / Facilitator,14,1018,10,112,0,1,2,0,16.1,15.6,24.7,30.2,25.9,2.4,2.6,0.554,0.224,0.213,101,101,96,0.142857143
Klay Thompson,5,2010-2019,4,Pure Sharpshooter / Off-Ball Weapon,13,934,9,158,0,0,2,0,18.6,19.2,27.1,31.1,28.5,2.8,3.1,0.571,0.236,0.224,101,101,98,0.153846154
