Player_Name,Era_ID,Era_Label,Archetype_ID,Archetype_Label,Seasons_Played,Career_Games,Playoff_Seasons,Playoff_Games,Championships,Finals_MVP,All_NBA_Teams,All_Defensive_Teams,Career_PPG,Playoff_PPG,Career_PER,Peak_5Yr_PER,Playoff_PER,Career_BPM,Playoff_BPM,Career_TS_Pct,Career_WS_per_48,Playoff_WS_per_48,Athletic_Raw_Rank,Yahoo_Raw_Rank,BR_Raw_Rank,All_NBA_PS,Career_PPG_Global_Scaled,Championships_Global_Scaled,All_NBA_Teams_Global_Scaled,All_Defensive_Teams_Global_Scaled,Seasons_Played_Global_Scaled,Global_Classic_Index,Global_Classic_Rank
Tony Parker,4,2000-2009,3,Floor General / Facilitator,18,1254,17,226,4,1,4,0,15.5,17.9,25.6,31.2,26.9,2.3,2.5,0.546,0.228,0.217,87,57,86,0.222222222,-0.8585016742253512,1.3856971709635437,-0.37623655827460656,-0.5359860060422563,0.9549623091588697,-0.19283517236141795,56
Artis Gilmore,2,1980-1989,1,Two-Way Paint Beast,12,909,6,42,1,0,5,5,17.1,11.7,27.1,36.5,28.5,2.6,2.9,0.643,0.236,0.224,94,44,100,0.416666667,-0.5256840219858099,-0.1430397079704303,-0.137953404700689,0.9470820689290355,-0.8494416120142434,-0.19332125019220206,57
Paul Pierce,4,2000-2009,2,Point Forward / Playmaker,19,1343,14,170,1,1,4,0,19.7,18.7,30.2,39.0,31.7,3.0,3.3,0.568,0.251,0.238,51,51,49,0.210526316,0.015144662903443866,-0.1430397079704303,-0.37623655827460656,-0.5359860060422563,1.2556962960210551,-0.2564151064765869,58
Pau Gasol,5,2010-2019,2,Point Forward / Playmaker,18,1226,12,136,2,0,4,0,17.0,15.4,30.1,35.8,31.6,2.6,2.9,0.565,0.251,0.238,78,54,62,0.222222222,-0.5464851252507815,0.3665392516742277,-0.37623655827460656,-0.5359860060422563,0.9549623091588697,-0.25876697845583474,59
Jayson Tatum,6,2020-2029,2,Point Forward / Playmaker,9,601,9,127,1,0,4,0,23.5,24.2,39.4,45.2,41.4,3.5,3.9,0.582,0.297,0.282,91,63,93,0.444444444,0.805586586972354,-0.1430397079704303,-0.37623655827460656,-0.5359860060422563,-1.7516435726008,-0.36726000370423406,60
Kyrie Irving,5,2010-2019,0,Heliocentric Scorer,14,779,7,96,1,0,3,0,23.7,23.0,38.2,42.7,40.1,3.6,4.0,0.584,0.291,0.276,80,76,69,0.214285714,0.8471887935022965,-0.1430397079704303,-0.6145197118485242,-0.5359860060422563,-0.24797363828987237,-0.485388582592803,61
Reggie Miller,3,1990-1999,4,Pure Sharpshooter / Off-Ball Weapon,18,1389,15,144,0,0,3,0,18.2,20.6,26.8,31.9,28.1,2.7,3.0,0.614,0.234,0.222,48,65,54,0.166666667,-0.29687188607112586,-0.6526186676150884,-0.6145197118485242,-0.5359860060422563,0.9549623091588697,-0.5232111359706098,62
Robert Parish,2,1980-1989,5,Defensive Anchor / Glass Cleaner,21,1611,16,184,4,0,2,0,14.5,15.3,27.4,34.5,28.8,2.2,2.4,0.571,0.237,0.225,71,68,68,0.095238095,-1.0665127068750644,1.3856971709635437,-0.8528028654224417,-0.5359860060422563,1.8571642697454263,-0.5489099978258005,63
Dave Cowens,1,1970-1979,1,Two-Way Paint Beast,11,766,7,89,2,0,3,3,17.6,18.9,30.4,,31.9,2.6,2.9,0.496,0.252,0.239,61,83,74,0.272727273,-0.4216785056609533,0.3665392516742277,-0.6145197118485242,0.3538548389405187,-1.1501755988764288,-0.5531757288087207,64
Ray Allen,4,2000-2009,4,Pure Sharpshooter / Off-Ball Weapon,18,1300,11,171,2,0,2,0,18.9,16.1,29.8,36.7,31.3,2.8,3.1,0.58,0.249,0.237,55,55,51,0.111111111,-0.1512641632163268,0.3665392516742277,-0.8528028654224417,-0.5359860060422563,0.9549623091588697,-0.6297903022153368,65
Manu Ginobili,4,2000-2009,4,Pure Sharpshooter / Off-Ball Weapon,16,1057,15,218,4,0,2,0,13.3,14.0,22.1,28.1,23.2,2.0,2.2,0.582,0.211,0.2,82,62,75,0.125,-1.3161259460547199,1.3856971709635437,-0.8528028654224417,-0.5359860060422563,0.35349433543449865,-0.6365741565003297,66
Vince Carter,4,2000-2009,0,Heliocentric Scorer,22,1541,11,88,0,0,2,0,16.7,18.1,26.6,39.0,27.9,2.5,2.8,0.536,0.233,0.221,85,95,65,0.090909091,-0.6088884350456956,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,2.157898256607612,-0.6740573519775135,67
James Worthy,3,1990-1999,2,Point Forward / Playmaker,12,926,9,143,3,1,2,0,17.6,21.1,28.6,33.3,30.0,2.6,2.9,0.559,0.243,0.231,59,72,63,0.166666667,-0.4216785056609533,0.8761182113188857,-0.8528028654224417,-0.5359860060422563,-0.8494416120142434,-0.6927648986246512,68
Adrian Dantley,2,1980-1989,0,Heliocentric Scorer,15,955,7,73,0,0,2,0,24.3,21.3,34.3,44.3,36.0,3.6,4.0,0.617,0.271,0.257,101,82,84,0.133333333,0.9719954130921246,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,0.05276034857231315,-0.7002700549723874,69
Paul George,5,2010-2019,2,Point Forward / Playmaker,16,945,12,125,0,0,2,0,20.5,20.8,32.0,39.0,33.6,3.1,3.4,0.571,0.26,0.247,72,75,78,0.125,0.18155348902321453,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,0.35349433543449865,-0.7247554518327236,70
Alex English,2,1980-1989,0,Heliocentric Scorer,15,1193,10,68,0,0,2,0,21.5,24.4,34.6,42.6,36.3,3.2,3.5,0.55,0.273,0.259,79,101,76,0.133333333,0.38956452167292765,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,0.05276034857231315,-0.7293915995433472,71
Bernard King,3,1990-1999,0,Heliocentric Scorer,14,874,5,28,0,0,2,0,22.5,24.5,32.4,37.1,34.0,3.4,3.7,0.561,0.262,0.249,92,101,97,0.142857143,0.5975755543226408,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,-0.24797363828987237,-0.7340277472539709,72
Grant Hill,4,2000-2009,2,Point Forward / Playmaker,18,1026,8,39,0,0,2,0,16.7,13.4,28.2,39.6,29.6,2.5,2.8,0.551,0.241,0.229,84,91,79,0.111111111,-0.6088884350456956,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,0.9549623091588697,-0.7342041493499506,73
Kyle Lowry,5,2010-2019,3,Floor General / Facilitator,20,1187,12,138,0,0,2,0,13.8,13.3,22.9,33.9,24.0,2.1,2.3,0.569,0.214,0.203,101,98,101,0.1,-1.2121204297298633,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,1.5564302828832408,-0.7342923503979404,74
Chris Webber,4,2000-2009,1,Two-Way Paint Beast,15,831,10,80,0,0,2,0,20.7,18.7,35.1,43.7,36.9,3.1,3.4,0.513,0.276,0.262,68,100,90,0.133333333,0.223155695553157,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,0.05276034857231315,-0.7377120408493357,75
