Player_Name,Era_ID,Era_Label,Archetype_ID,Archetype_Label,Seasons_Played,Career_Games,Playoff_Seasons,Playoff_Games,Championships,Finals_MVP,All_NBA_Teams,All_Defensive_Teams,Career_PPG,Playoff_PPG,Career_PER,Peak_5Yr_PER,Playoff_PER,Career_BPM,Playoff_BPM,Career_TS_Pct,Career_WS_per_48,Playoff_WS_per_48,Athletic_Raw_Rank,Yahoo_Raw_Rank,BR_Raw_Rank,All_NBA_PS,Modern_Athletic_Raw_Rank,Modern_Yahoo_Raw_Rank,Modern_BR_Raw_Rank,Modern_Consensus_Rank,Consensus_Target,GBR_All_Prediction,Maximal_Greatness_Index,Maximal_ML_Rank
Giannis Antetokounmpo,6,2020-2029,2,Point Forward / Playmaker,13,895,9,84,1,0,8,5,24.1,27.0,44.2,53.0,46.4,3.6,4.0,0.613,0.321,0.305,22,18,24,0.615384615,18,16,20,18.0,-20.5,-21.840185968481254,78.38283377834735,19
Charles Barkley,3,1990-1999,2,Point Forward / Playmaker,16,1073,13,123,0,0,11,0,22.1,23.0,41.0,46.3,43.1,3.3,3.6,0.612,0.305,0.29,23,30,25,0.6875,19,25,21,21.666666666666668,-24.916666666666668,-24.833513711167228,75.19654056028526,20
Dwyane Wade,5,2010-2019,0,Heliocentric Scorer,16,1054,13,177,3,1,8,3,22.0,22.3,32.8,42.4,34.4,3.3,3.6,0.554,0.264,0.251,27,25,23,0.5,21,21,19,20.33333333333333,-23.833333333333332,-25.034241242687475,74.98287308804669,21
Chris Paul,5,2010-2019,3,Floor General / Facilitator,21,1370,15,149,0,0,11,9,16.8,20.0,32.7,38.3,34.3,2.5,2.8,0.58,0.264,0.251,31,23,30,0.523809524,24,19,25,22.666666666666668,-26.666666666666668,-27.33964801961604,72.52884779925206,22
John Stockton,3,1990-1999,3,Floor General / Facilitator,19,1504,19,182,0,0,11,5,13.1,13.4,28.1,35.8,29.5,2.0,2.2,0.608,0.241,0.229,33,27,29,0.578947368,25,23,24,24.0,-28.25,-28.229759764944998,71.58135482111457,23
Kawhi Leonard,5,2010-2019,2,Point Forward / Playmaker,14,798,12,146,2,2,6,7,20.7,21.5,33.8,40.9,35.5,3.1,3.4,0.607,0.269,0.256,35,26,32,0.428571429,27,22,26,25.0,-29.5,-28.953858741786327,70.81057665799739,24
Isiah Thomas,2,1980-1989,3,Floor General / Facilitator,13,979,9,111,2,1,5,0,19.2,20.4,33.6,38.7,35.3,2.9,3.2,0.516,0.268,0.255,25,40,27,0.384615385,20,32,22,24.666666666666668,-29.166666666666668,-29.94580558248451,69.75468376457215,25
James Harden,5,2010-2019,0,Heliocentric Scorer,17,1221,17,187,0,0,10,0,24.0,22.3,40.6,50.4,42.6,3.6,4.0,0.608,0.303,0.288,34,28,34,0.588235294,26,24,28,26.0,-30.5,-30.965098626554838,68.66968178927063,26
Scottie Pippen,3,1990-1999,2,Point Forward / Playmaker,17,1178,16,208,6,0,7,10,16.1,17.5,28.9,37.3,30.3,2.4,2.6,0.536,0.244,0.232,30,31,28,0.411764706,23,26,23,24.0,-28.25,-31.82979553023262,67.7492420256664,27
Jason Kidd,4,2000-2009,3,Floor General / Facilitator,19,1391,17,158,1,0,6,9,12.6,12.9,29.2,35.4,30.7,1.9,2.1,0.507,0.246,0.234,37,36,33,0.315789474,28,28,27,27.666666666666668,-33.41666666666667,-33.279934025009055,66.20562006096607,28
Steve Nash,4,2000-2009,3,Floor General / Facilitator,18,1217,12,120,0,0,7,0,14.3,17.3,26.2,33.6,27.5,2.1,2.3,0.605,0.231,0.219,39,37,35,0.388888889,30,29,29,29.33333333333333,-35.08333333333333,-37.00578868178383,62.23957743386843,29
George Gervin,2,1980-1989,0,Heliocentric Scorer,10,791,9,59,0,0,9,0,26.2,27.0,36.9,41.5,38.7,3.9,4.3,0.572,0.284,0.27,43,43,42,0.9,33,34,33,33.333333333333336,-40.333333333333336,-39.406772666695964,59.683813533141496,30
Russell Westbrook,5,2010-2019,0,Heliocentric Scorer,18,1301,14,135,0,0,9,0,20.9,22.5,37.5,49.6,39.4,3.1,3.4,0.526,0.288,0.274,47,38,48,0.5,35,30,37,34.0,-41.75,-41.06918709228523,57.91423122702535,31
Allen Iverson,4,2000-2009,0,Heliocentric Scorer,14,914,8,71,0,0,7,0,26.7,29.7,36.0,43.7,37.8,4.0,4.4,0.518,0.28,0.266,49,46,36,0.5,37,36,30,34.333333333333336,-41.333333333333336,-41.69357838676746,57.24958842207792,32
Clyde Drexler,3,1990-1999,3,Floor General / Facilitator,15,1086,15,145,1,0,5,0,20.4,20.4,35.5,41.8,37.3,3.1,3.4,0.547,0.277,0.263,44,49,39,0.333333333,34,38,31,34.333333333333336,-41.583333333333336,-41.882381293763565,57.04861429768342,33
Patrick Ewing,3,1990-1999,1,Two-Way Paint Beast,17,1183,14,139,0,0,7,3,21.0,20.2,35.0,43.1,36.8,3.2,3.5,0.553,0.275,0.261,38,56,40,0.411764706,29,43,32,34.666666666666664,-42.166666666666664,-42.469342328573,56.423814701631905,34
Anthony Davis,6,2020-2029,1,Two-Way Paint Beast,14,807,6,60,1,0,5,5,24.0,26.1,42.0,45.4,44.1,3.6,4.0,0.591,0.31,0.294,57,39,45,0.357142857,45,31,34,36.66666666666666,-44.416666666666664,-42.714772943053035,56.16256235319349,35
Gary Payton,3,1990-1999,3,Floor General / Facilitator,17,1335,15,154,1,0,9,9,16.3,14.0,30.3,40.2,31.8,2.4,2.6,0.528,0.252,0.239,50,41,53,0.529411765,38,33,42,37.66666666666666,-45.416666666666664,-44.59236812051629,54.163927624726036,36
Kevin McHale,2,1980-1989,5,Defensive Anchor / Glass Cleaner,13,971,13,169,3,0,1,6,17.9,18.8,30.0,37.6,31.5,2.7,3.0,0.605,0.25,0.238,52,50,46,0.076923077,40,39,35,38.0,-46.5,-45.82419468529479,52.8526911125289,37
Dwight Howard,5,2010-2019,0,Heliocentric Scorer,18,1242,12,125,1,0,8,5,15.7,15.3,30.7,39.4,32.2,2.4,2.6,0.602,0.254,0.241,56,35,52,0.444444444,44,27,41,37.333333333333336,-45.083333333333336,-45.98394647898007,52.682640887311706,38
Elvin Hayes,1,1970-1979,1,Two-Way Paint Beast,16,1303,10,96,1,0,6,2,21.0,22.9,30.3,35.7,31.8,3.2,3.5,0.491,0.252,0.239,42,60,47,0.375,32,47,36,38.333333333333336,-46.833333333333336,-47.12207288582631,51.471144932586235,39
Paul Pierce,4,2000-2009,2,Point Forward / Playmaker,19,1343,14,170,1,1,4,0,19.7,18.7,30.2,39.0,31.7,3.0,3.3,0.568,0.251,0.238,51,51,49,0.210526316,39,40,38,39.0,-47.5,-50.68779571619432,47.67555706231316,40
Joel Embiid,6,2020-2029,1,Two-Way Paint Beast,10,490,8,66,0,0,5,3,27.6,24.8,45.3,49.9,47.6,4.1,4.5,0.613,0.326,0.31,41,61,66,0.5,31,48,53,44.0,-53.0,-51.21318791037927,47.116295354588466,41
Reggie Miller,3,1990-1999,4,Pure Sharpshooter / Off-Ball Weapon,18,1389,15,144,0,0,3,0,18.2,20.6,26.8,31.9,28.1,2.7,3.0,0.614,0.234,0.222,48,65,54,0.166666667,36,52,43,43.66666666666666,-52.666666666666664,-52.811998775113324,45.41441682567906,42
Ray Allen,4,2000-2009,4,Pure Sharpshooter / Off-Ball Weapon,18,1300,11,171,2,0,2,0,18.9,16.1,29.8,36.7,31.3,2.8,3.1,0.58,0.249,0.237,55,55,51,0.111111111,43,42,40,41.66666666666666,-50.666666666666664,-53.03833287723169,45.17349205011513,43
Tracy McGrady,4,2000-2009,0,Heliocentric Scorer,15,938,9,50,0,0,2,0,19.6,22.2,29.1,44.6,30.6,2.9,3.2,0.519,0.246,0.234,60,58,59,0.133333333,48,45,46,46.333333333333336,-55.833333333333336,-55.570258308566856,42.47834553626793,44
Dominique Wilkins,3,1990-1999,0,Heliocentric Scorer,15,1074,10,56,0,0,7,0,24.8,25.4,37.1,42.8,39.0,3.7,4.1,0.536,0.286,0.272,54,79,50,0.466666667,42,63,39,48.0,-57.75,-56.71270905572351,41.26224647176362,45
Luka Doncic,6,2020-2029,0,Heliocentric Scorer,8,514,5,55,0,0,5,0,29.2,30.9,50.1,52.5,52.6,4.4,4.8,0.592,0.351,0.333,53,74,57,0.625,41,59,45,48.333333333333336,-58.083333333333336,-57.398660588664455,40.53207493519549,46
Pau Gasol,5,2010-2019,2,Point Forward / Playmaker,18,1226,12,136,2,0,4,0,17.0,15.4,30.1,35.8,31.6,2.6,2.9,0.565,0.251,0.238,78,54,62,0.222222222,58,41,49,49.333333333333336,-60.833333333333336,-58.56123126735948,39.2945589037168,47
Bob McAdoo,1,1970-1979,0,Heliocentric Scorer,14,852,9,94,0,0,2,0,22.1,18.3,26.2,38.9,27.5,3.3,3.6,0.551,0.231,0.219,58,71,61,0.142857143,46,56,48,50.0,-60.0,-60.56855832060836,37.15782910798107,48
Damian Lillard,5,2010-2019,0,Heliocentric Scorer,13,900,10,68,0,0,7,0,25.1,25.2,40.3,44.4,42.3,3.8,4.2,0.59,0.302,0.287,65,67,64,0.538461538,50,54,51,51.66666666666666,-61.916666666666664,-61.163331914606495,36.52471331454038,49
James Worthy,3,1990-1999,2,Point Forward / Playmaker,12,926,9,143,3,1,2,0,17.6,21.1,28.6,33.3,30.0,2.6,2.9,0.559,0.243,0.231,59,72,63,0.166666667,47,57,50,51.333333333333336,-61.333333333333336,-63.451024710086855,34.08954394257318,50
Carmelo Anthony,5,2010-2019,0,Heliocentric Scorer,19,1260,13,83,0,0,6,0,22.5,23.1,34.7,40.4,36.4,3.4,3.7,0.543,0.274,0.26,66,88,60,0.315789474,51,69,47,55.66666666666666,-67.41666666666666,-67.3095938819488,29.98223133246285,51
Manu Ginobili,4,2000-2009,4,Pure Sharpshooter / Off-Ball Weapon,16,1057,15,218,4,0,2,0,13.3,14.0,22.1,28.1,23.2,2.0,2.2,0.582,0.211,0.2,82,62,75,0.125,62,49,58,56.333333333333336,-68.83333333333334,-68.67074321829786,28.533335230198077,52
Robert Parish,2,1980-1989,5,Defensive Anchor / Glass Cleaner,21,1611,16,184,4,0,2,0,14.5,15.3,27.4,34.5,28.8,2.2,2.4,0.571,0.237,0.225,71,68,68,0.095238095,54,55,55,54.66666666666666,-65.41666666666666,-68.75337495570672,28.445376621206503,53
Bill Walton,3,1990-1999,0,Heliocentric Scorer,10,468,4,49,0,0,2,0,13.3,10.8,24.0,28.9,25.2,2.0,2.2,0.551,0.22,0.209,74,87,55,0.2,56,68,44,56.0,-68.0,-69.27970167491793,27.885120144111642,54
Paul George,5,2010-2019,2,Point Forward / Playmaker,16,945,12,125,0,0,2,0,20.5,20.8,32.0,39.0,33.6,3.1,3.4,0.571,0.26,0.247,72,75,78,0.125,55,60,61,58.66666666666666,-70.91666666666666,-69.3514073860309,27.808791909900123,55
Kyrie Irving,5,2010-2019,0,Heliocentric Scorer,14,779,7,96,1,0,3,0,23.7,23.0,38.2,42.7,40.1,3.6,4.0,0.584,0.291,0.276,80,76,69,0.214285714,60,61,56,59.0,-71.0,-69.60930082764798,27.534273315664976,56
Dennis Rodman,3,1990-1999,5,Defensive Anchor / Glass Cleaner,14,911,11,169,0,0,2,0,7.3,6.4,24.2,29.3,25.4,1.1,1.2,0.546,0.221,0.21,64,89,67,0.142857143,49,70,54,57.66666666666666,-69.41666666666666,-70.10628710693288,27.005248715861402,57
Chris Bosh,5,2010-2019,2,Point Forward / Playmaker,13,893,6,89,2,0,0,0,19.2,15.6,33.4,39.4,35.1,2.9,3.2,0.571,0.267,0.254,86,90,71,0.0,66,71,57,64.66666666666667,-77.91666666666667,-73.43487234531017,23.462085560173577,58
Artis Gilmore,2,1980-1989,1,Two-Way Paint Beast,12,909,6,42,1,0,5,5,17.1,11.7,27.1,36.5,28.5,2.6,2.9,0.643,0.236,0.224,94,44,100,0.416666667,71,35,77,61.0,-74.75,-74.39884249456729,22.435972881233795,59
Tony Parker,4,2000-2009,3,Floor General / Facilitator,18,1254,17,226,4,1,4,0,15.5,17.9,25.6,31.2,26.9,2.3,2.5,0.546,0.228,0.217,87,57,86,0.222222222,67,44,68,59.66666666666666,-72.41666666666666,-74.59444630780509,22.22775942880796,60
Vince Carter,4,2000-2009,0,Heliocentric Scorer,22,1541,11,88,0,0,2,0,16.7,18.1,26.6,39.0,27.9,2.5,2.8,0.536,0.233,0.221,85,95,65,0.090909091,65,75,52,64.0,-77.25,-76.24834765687459,20.46723899640279,61
Jayson Tatum,6,2020-2029,2,Point Forward / Playmaker,9,601,9,127,1,0,4,0,23.5,24.2,39.4,45.2,41.4,3.5,3.9,0.582,0.297,0.282,91,63,93,0.444444444,69,50,73,64.0,-77.75,-76.38437102369443,20.32244685586454,62
Alex English,2,1980-1989,0,Heliocentric Scorer,15,1193,10,68,0,0,2,0,21.5,24.4,34.6,42.6,36.3,3.2,3.5,0.55,0.273,0.259,79,101,76,0.133333333,59,83,59,67.0,-80.75,-77.37977275362583,19.262876353076322,63
Nate Archibald,1,1970-1979,0,Heliocentric Scorer,13,876,5,47,1,0,5,0,18.8,14.2,20.6,22.1,21.6,2.8,3.1,0.543,0.203,0.193,70,96,80,0.384615385,53,76,63,64.0,-77.5,-77.47656554328194,19.1598437967543,64
Grant Hill,4,2000-2009,2,Point Forward / Playmaker,18,1026,8,39,0,0,2,0,16.7,13.4,28.2,39.6,29.6,2.5,2.8,0.551,0.241,0.229,84,91,79,0.111111111,64,72,62,66.0,-80.0,-78.39730762318995,18.179745893354397,65
Alonzo Mourning,3,1990-1999,1,Two-Way Paint Beast,15,838,11,95,0,0,2,0,17.1,13.6,25.2,35.7,26.5,2.6,2.9,0.583,0.226,0.215,75,85,87,0.133333333,57,66,69,64.0,-77.75,-78.61301101605225,17.95013713785827,66
Shai Gilgeous-Alexander,6,2020-2029,0,Heliocentric Scorer,8,530,5,55,0,0,2,0,25.3,26.2,39.8,46.2,41.8,3.8,4.2,0.616,0.299,0.284,101,48,101,0.25,85,37,79,67.0,-79.25,-78.8565643483747,17.690883090949562,67
Chauncey Billups,4,2000-2009,3,Floor General / Facilitator,17,1043,12,146,0,0,2,0,15.2,17.3,23.9,30.3,25.1,2.3,2.5,0.58,0.22,0.209,101,59,91,0.117647059,84,46,72,67.33333333333333,-79.58333333333333,-78.92244083726264,17.620759860947015,68
Chris Webber,4,2000-2009,1,Two-Way Paint Beast,15,831,10,80,0,0,2,0,20.7,18.7,35.1,43.7,36.9,3.1,3.4,0.513,0.276,0.262,68,100,90,0.133333333,52,80,71,67.66666666666667,-81.41666666666667,-79.92059101278268,16.558263733472128,69
Dikembe Mutombo,4,2000-2009,5,Defensive Anchor / Glass Cleaner,18,1196,13,101,0,0,2,0,9.8,9.1,22.0,29.2,23.1,1.5,1.6,0.573,0.21,0.199,101,73,81,0.111111111,81,58,64,67.66666666666667,-80.66666666666667,-80.3214026571379,16.1316136857953,70
Jimmy Butler,6,2020-2029,2,Point Forward / Playmaker,15,907,12,130,0,0,2,0,18.4,21.1,31.9,37.5,33.5,2.8,3.1,0.592,0.26,0.247,99,81,83,0.133333333,73,64,66,67.66666666666667,-82.66666666666667,-81.01866004689163,15.389407458079507,71
Pete Maravich,2,1980-1989,0,Heliocentric Scorer,10,658,4,26,0,0,2,0,24.2,18.7,25.5,25.5,26.8,3.6,4.0,0.5,0.228,0.217,81,101,77,0.2,61,82,60,67.66666666666667,-81.66666666666667,-82.15236390442374,14.182619153199798,72
Draymond Green,6,2020-2029,5,Defensive Anchor / Glass Cleaner,14,949,10,169,0,0,2,0,8.7,11.4,22.6,27.4,23.7,1.3,1.4,0.541,0.213,0.202,100,77,88,0.142857143,74,62,70,68.66666666666667,-83.41666666666667,-83.04503689730242,13.232399816173816,73
Adrian Dantley,2,1980-1989,0,Heliocentric Scorer,15,955,7,73,0,0,2,0,24.3,21.3,34.3,44.3,36.0,3.6,4.0,0.617,0.271,0.257,101,82,84,0.133333333,80,65,67,70.66666666666667,-84.41666666666667,-83.32139740420324,12.938223673574702,74
Rudy Gobert,6,2020-2029,5,Defensive Anchor / Glass Cleaner,13,905,10,96,0,0,2,0,12.5,11.6,28.1,33.3,29.5,1.9,2.1,0.672,0.241,0.229,101,64,101,0.153846154,83,51,78,70.66666666666667,-84.16666666666667,-83.43648409002793,12.815717901385714,75
Ben Wallace,4,2000-2009,5,Defensive Anchor / Glass Cleaner,16,1088,8,130,0,0,2,0,5.7,7.2,17.5,26.0,18.4,0.9,1.0,0.474,0.188,0.179,101,66,101,0.125,82,53,80,71.66666666666667,-84.91666666666667,-85.06706007597623,11.080026506329872,76
Sidney Moncrief,2,1980-1989,5,Defensive Anchor / Glass Cleaner,11,767,11,93,0,0,2,0,15.6,16.0,25.6,34.7,26.9,2.3,2.5,0.591,0.228,0.217,95,86,101,0.181818182,72,67,86,75.0,-89.25,-88.07823115765191,7.874739674838903,77
Bob Lanier,2,1980-1989,1,Two-Way Paint Beast,14,959,9,67,0,0,2,0,20.1,18.6,30.5,36.3,32.0,3.0,3.3,0.559,0.252,0.239,101,101,82,0.142857143,86,86,65,79.0,-90.75,-89.20176294674638,6.678779182835923,78
Spencer Haywood,3,1990-1999,2,Point Forward / Playmaker,12,760,4,33,0,0,2,0,19.2,13.4,25.1,28.0,26.4,2.9,3.2,0.517,0.226,0.215,83,101,101,0.166666667,63,81,87,77.0,-90.5,-89.89879514794859,5.936812660496949,79
Bernard King,3,1990-1999,0,Heliocentric Scorer,14,874,5,28,0,0,2,0,22.5,24.5,32.4,37.1,34.0,3.4,3.7,0.561,0.262,0.249,92,101,97,0.142857143,70,84,75,76.33333333333333,-91.58333333333333,-90.9858011153484,4.779732634635452,80
Amar'e Stoudemire,4,2000-2009,0,Heliocentric Scorer,14,846,10,78,0,0,2,0,18.9,18.7,27.5,36.9,28.9,2.8,3.1,0.597,0.238,0.226,101,93,101,0.142857143,78,74,85,79.0,-93.5,-91.12988176099486,4.626363801169389,81
Dennis Johnson,2,1980-1989,3,Floor General / Facilitator,14,1100,13,180,0,0,2,0,14.1,17.3,25.4,28.5,26.7,2.1,2.3,0.511,0.227,0.216,88,101,101,0.142857143,68,85,88,80.33333333333333,-92.58333333333333,-91.90088729583812,3.8056552393481566,82
Horace Grant,3,1990-1999,5,Defensive Anchor / Glass Cleaner,17,1165,13,170,0,0,2,0,11.2,11.2,23.4,30.1,24.6,1.7,1.9,0.54,0.217,0.206,101,92,101,0.117647059,79,73,84,78.66666666666667,-93.16666666666667,-92.28178151984639,3.400206592529562,83
Marc Gasol,5,2010-2019,5,Defensive Anchor / Glass Cleaner,13,891,9,99,0,0,2,0,14.0,13.4,26.9,32.1,28.2,2.1,2.3,0.557,0.234,0.222,101,99,101,0.153846154,75,79,81,78.33333333333333,-94.83333333333333,-92.44858507433055,3.222650013334321,84
Joe Dumars,3,1990-1999,3,Floor General / Facilitator,14,1018,10,112,0,1,2,0,16.1,15.6,24.7,30.2,25.9,2.4,2.6,0.554,0.224,0.213,101,101,96,0.142857143,87,87,74,82.66666666666667,-95.16666666666667,-93.607797068309,1.9887091848584428,85
Kyle Lowry,5,2010-2019,3,Floor General / Facilitator,20,1187,12,138,0,0,2,0,13.8,13.3,22.9,33.9,24.0,2.1,2.3,0.569,0.214,0.203,101,98,101,0.1,76,78,82,78.66666666666667,-94.66666666666667,-93.68769976235221,1.9036555475623385,86
Al Horford,5,2010-2019,2,Point Forward / Playmaker,19,1183,16,197,0,0,2,0,12.7,11.9,26.5,31.0,27.8,1.9,2.1,0.573,0.232,0.22,101,97,101,0.105263158,77,77,83,79.0,-94.5,-93.76958762665106,1.8164887656105282,87
Klay Thompson,5,2010-2019,4,Pure Sharpshooter / Off-Ball Weapon,13,934,9,158,0,0,2,0,18.6,19.2,27.1,31.1,28.5,2.8,3.1,0.571,0.236,0.224,101,101,98,0.153846154,88,88,76,84.0,-96.0,-95.47606780416793,0.0,88
